City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Moose Factory,CA,2022-04-16 23:55:37,51.2585,-80.6094,32.0,86,100,9.22
245,Raja Sansi,IN,2022-04-16 23:55:37,31.7192,74.7978,75.06,49,18,0.0
246,Peniche,PT,2022-04-16 23:47:47,39.3558,-9.3811,56.28,91,91,13.62
247,Katsuura,JP,2022-04-16 23:55:21,35.1333,140.3,57.67,59,99,11.12
248,Ruteng,ID,2022-04-16 23:55:38,-8.6136,120.4721,69.13,82,14,0.76
249,Tessalit,ML,2022-04-16 23:55:38,20.1986,1.0114,73.08,21,94,9.64
250,Goderich,CA,2022-04-16 23:55:38,43.7501,-81.7165,34.12,64,69,8.05
251,Lazurne,UA,2022-04-16 23:55:39,46.084,32.5295,45.95,92,50,4.56
252,Kangaatsiaq,GL,2022-04-16 23:55:39,68.3065,-53.4641,-0.4,98,80,4.12
253,Vardo,NO,2022-04-16 23:55:39,70.3705,31.1107,38.75,83,100,28.07
254,Tukrah,LY,2022-04-16 23:55:40,32.5341,20.5791,61.79,90,89,5.5
255,Nalut,LY,2022-04-16 23:55:40,30.3333,10.85,55.06,68,27,8.39
256,Nsanje,MW,2022-04-16 23:55:40,-16.92,35.262,71.47,98,12,2.89
257,Mount Gambier,AU,2022-04-16 23:55:40,-37.8333,140.7667,71.51,35,40,17.27
258,Yellowknife,CA,2022-04-16 23:45:58,62.456,-114.3525,14.56,48,20,8.05
259,Kulhudhuffushi,MV,2022-04-16 23:55:41,6.6221,73.07,83.7,73,65,7.36
260,Santa Rosa,PH,2022-04-16 23:55:41,14.3122,121.1114,83.08,73,83,9.64
261,Kuhdasht,IR,2022-04-16 23:55:41,33.535,47.6061,47.57,36,0,4.63
262,Carnarvon,AU,2022-04-16 23:45:53,-24.8667,113.6333,73.47,78,100,13.8
263,Senneterre,CA,2022-04-16 23:55:42,48.3835,-77.2328,28.0,83,100,3.87
264,Saint-Francois,FR,2022-04-16 23:55:42,46.4154,3.9054,50.68,65,0,4.61
265,Kloulklubed,PW,2022-04-16 23:55:42,7.0419,134.2556,82.27,73,49,1.52
266,Ambovombe,MG,2022-04-16 23:55:43,-25.1667,46.0833,71.92,90,5,4.97
267,Miles City,US,2022-04-16 23:55:43,46.4083,-105.8406,33.89,75,83,21.65
268,Mackay,AU,2022-04-16 23:53:10,-21.15,149.2,79.68,73,16,13.8
