City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Puerto Leguizamo,CO,73.31,heavy intensity rain,-0.1934,-74.7819,la casona de juancho
474,Codrington,AU,79.77,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
475,Ballina,AU,73.58,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
476,Dingle,PH,86.02,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
478,Isla Mujeres,MX,78.85,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
479,Waingapu,ID,85.77,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
480,Saint-Paul,RE,75.29,clear sky,-21.0096,55.2707,Boucan Canot
482,Koson,UZ,68.32,broken clouds,39.0375,65.585,Jamshid Orziev ning uyi
483,Sao Paulo De Olivenca,BR,73.17,overcast clouds,-3.3783,-68.8725,
484,Riyadh,SA,69.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
485,Kochinda,IN,94.77,clear sky,21.7333,84.35,Shristi Lodge
486,Kavaratti,IN,83.98,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
494,Salinopolis,BR,77.68,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
495,Jacareacanga,BR,73.65,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
497,Marsh Harbour,BS,75.85,clear sky,26.5412,-77.0636,Abaco Beach Resort
501,Birao,CF,79.23,scattered clouds,10.2849,22.7882,
503,Aripuana,BR,72.9,overcast clouds,-9.1667,-60.6333,
504,Fuerte Olimpo,PY,70.29,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
507,Beberibe,BR,77.65,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
508,Gushikawa,JP,71.19,overcast clouds,26.3544,127.8686,Kirari Guest House
509,Falam,MM,84.24,scattered clouds,22.9167,93.6833,Falang Government Guesthouse
513,Santa Isabel Do Rio Negro,BR,72.88,broken clouds,-0.4139,-65.0192,Hotel GSA
514,Nuevo Progreso,MX,78.55,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
515,Izumo,JP,66.09,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
516,Bensonville,LR,77.34,light rain,6.4461,-10.6125,Moinga
526,Sawakin,SD,76.44,clear sky,19.1059,37.3321,فندق الدويم
529,Nishihara,JP,71.26,overcast clouds,26.1842,127.7558,Minshuku Agaihama
536,Sabang,ID,83.88,broken clouds,5.8933,95.3214,Hotel Citra
538,Corowa,AU,80.58,clear sky,-36.0333,146.3833,Statesman Motor Inn
540,Kampong Cham,KH,87.93,overcast clouds,11.9934,105.4635,7 Makara Hotel
541,Charters Towers,AU,83.39,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
543,Ovsyanka,RU,65.37,broken clouds,55.9575,92.5519,Hotel Alsey Krasnoyarsk
544,San Pedro,PH,85.35,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
546,Kensington,AU,78.71,broken clouds,-33.9167,151.2167,Meriton Suites Zetland
549,Hansot,IN,86.07,clear sky,21.5833,72.8,Iram woden mart
552,Guatire,VE,78.21,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
556,Labuhan,ID,86.16,scattered clouds,-6.8844,112.2051,DoubleFAG
557,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
558,Tevaitoa,PF,81.81,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
560,Quang Ngai,VN,83.41,overcast clouds,15.1167,108.8,Central Hotel
565,Ambilobe,MG,68.5,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
567,Doka,SD,81.54,overcast clouds,13.5167,35.7667,Um Rakuba Refugee Camp
568,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
569,Kidal,ML,74.37,overcast clouds,18.4411,1.4078,
570,Flinders,AU,78.19,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
571,Shujaabad,PK,87.85,few clouds,29.8797,71.2931,Amir jewellery collection
572,Manacapuru,BR,75.45,overcast clouds,-3.2997,-60.6206,Novo Hotel
573,Sampit,ID,89.51,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
574,Gat,IL,69.4,scattered clouds,31.61,34.7642,OlusHome
576,Churachandpur,IN,81.3,clear sky,24.3333,93.6667,M.Pumkhanjam' INN
578,Kijang,KR,69.53,clear sky,35.2442,129.2139,Samyang Beach Villa
579,Carutapera,BR,76.26,light rain,-1.195,-46.02,Lidera
581,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
588,Natchez,US,69.24,overcast clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
590,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
592,Le Port,RE,75.16,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
593,Ulladulla,AU,76.1,clear sky,-35.35,150.4667,Sandpiper Motel
597,Kirakira,SB,85.42,overcast clouds,-10.4544,161.9205,SanBiz Lodge
598,Da Lat,VN,75.99,broken clouds,11.9465,108.4419,YK Home Villa Dalat
600,Malamig,PH,81.09,broken clouds,12.95,121.3667,Anela's place
602,Fare,PF,81.91,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
603,Mwene-Ditu,CD,65.37,overcast clouds,-7.0,23.45,Hôtel Kamas
606,Alofi,NU,85.89,broken clouds,-19.0595,-169.9187,Taloa Heights
607,Mananjary,MG,72.01,scattered clouds,-21.2167,48.3333,Vahiny Lodge
608,Mahajanga,MG,69.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
609,Beawar,IN,84.87,clear sky,26.1,74.3167,HOTEL JYOTI PARADISE
612,Toamasina,MG,73.4,light rain,-18.1667,49.3833,Hotel H1
613,Port Moresby,PG,90.82,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
614,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
618,Virginia Beach,US,68.05,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
620,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
623,Canutama,BR,73.85,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
624,Samana,DO,74.39,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
628,Cabatuan,PH,86.81,overcast clouds,10.8794,122.486,MVC Transient Room
629,Nurota,UZ,66.51,overcast clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
631,Ures,MX,75.42,overcast clouds,29.4333,-110.4,Hacienda Quinta Napoles
632,Burewala,PK,91.92,scattered clouds,30.1667,72.65,Siddique asi
636,Atar,MR,75.97,clear sky,20.5169,-13.0499,Oumou Elghoura
638,Kisangani,CD,68.5,overcast clouds,0.5167,25.2,Grand Ramela Hotel
639,Guamuchil,MX,76.86,broken clouds,25.4667,-108.1,Hotel Heredia
640,Joshimath,IN,67.93,clear sky,30.5667,79.5667,Shivalik Camps & Resort
641,Bandar,ID,82.0,broken clouds,2.05,99.75,
645,Sewon,ID,87.22,overcast clouds,-7.8764,110.3589,OYO 465 Alam Citra Bed & Breakfast
654,Lodja,CD,68.54,overcast clouds,-3.4833,23.4333,
655,Bandar-E Lengeh,IR,78.91,clear sky,26.5579,54.8807,کافی نت پارس
657,Progreso,MX,82.51,clear sky,21.2833,-89.6667,Playa Linda Hotel
659,Darab,IR,69.93,few clouds,28.7519,54.5444,Naghshe shapoor Hotel
660,Deloraine,AU,72.39,overcast clouds,-41.5333,146.6667,Mountain View Country Inn
661,Moerai,PF,80.29,clear sky,-22.4333,-151.3333,Le Manotel
662,Bajil,YE,80.22,few clouds,15.0584,43.2851,فندق حضرموت
665,Yanam,IN,90.55,few clouds,16.7333,82.2167,The Regency Hotel
666,Contamana,PE,74.3,few clouds,-7.3333,-75.0167,Shiringal Touristic Park
667,Alta Floresta,BR,72.45,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
668,Seoni,IN,92.43,clear sky,22.0833,79.5333,STARiHOTELS Nehru Road Seoni
672,Abu Zabad,SD,80.94,overcast clouds,12.35,29.25,حامد محمد نور
673,Pangkalanbuun,ID,87.53,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
675,Ndele,CF,76.53,clear sky,8.4109,20.6473,
676,Marsa Matruh,EG,71.29,overcast clouds,31.3525,27.2453,Beau Site
681,Lake Havasu City,US,80.6,broken clouds,34.4839,-114.3224,Heat Hotel
682,Luganville,VU,83.89,broken clouds,-15.5333,167.1667,The Espiritu Hotel
685,Jega,NG,85.21,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
686,Benidorm,ES,65.32,clear sky,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
687,Buala,SB,83.28,light rain,-8.145,159.5921,Maringe Lagoon Lodge
690,Morada Nova,BR,74.25,scattered clouds,-5.1067,-38.3725,PIZZARIA MARIANA
691,Pandan,PH,82.47,broken clouds,14.0453,124.1694,Bonifacio Lodge
